id,title,company,description,salary_min,salary_max,city,keyword,search_title
5707337918,Business Data Analyst,TEKsystems c/o Allegis Group,"Description We are seeking a Product / Data Analyst to support the ""Next Best Action"" initiative. This role focuses on interpreting complex data, including outputs from data science models and LLMs, to understand how system decisions impact business outcomes and to optimize lead-flow processes. This is a highly analytical, business-focused role. While dashboards and visuals may be involved, the primary responsibility is data interpretation, decision analysis, and optimization , rather than heav…",128456.64,128456.64,San Francisco,data analysis,
4805321532,Data Analyst,"California Design, Printing & Marketing","We are seeking a highly analytical and detail-oriented data analyst to join our team. The successful candidate will be responsible for analyzing large data sets, identifying trends and patterns, and presenting insights to key stakeholders in the organization. The ideal candidate will have a strong background in data analysis, statistics, and database management. Responsibilities: • Work closely with stakeholders to understand business needs and identify opportunities for data analysis • Collect…",72463.2,72463.2,San Francisco,data analysis,
5616220709,"Sr Manager, Strategy and Ops",Amazon,"Description If you are interested in this position, please apply on Twitch's Career site https://www.twitch.tv/jobs/en/ About Us: Twitch is the world's biggest live streaming service, with global communities built around gaming, entertainment, music, sports, cooking, and more. It is where thousands of communities come together for whatever, every day. We're about community, inside and out. You'll find coworkers who are eager to team up, collaborate, and smash (or elegantly solve) problems toget…",245786.39,245786.39,San Francisco,data analysis,
5700680878,"Operations Manager, US&C Merchant Ops, Retail",Uber,"About the Role Grocery & Retail is a fast-growing startup within Uber that enables consumers to get just about anything delivered through the Uber Eats app or UberEats.com . As an Operations Manager, US&C Merchant Ops, you will be directly responsible for driving success for a handful of top-tier Enterprise Grocery brands on the platform. You will work cross-functionally with other teams (i.e. Sales, Partner Management, Product, Support, Legal, Eng) to lead high-impact initiatives that can scal…",98217.88,98217.88,San Francisco,data analysis,
5700859192,UX Operations Specialist (III),"Judge Group, Inc.","Location: San Francisco, CA Salary: $110.00 USD Hourly - $130.00 USD Hourly Description: Minimum qualifications You must meet these minimum qualifications to apply for this job BA/BS degree in Computer Science, Business, or equivalent practical experience. 5 years of relevant experience, such as technical program management or technical project management. Experience working with development methodologies, such as scrum or agile. Experience managing execution and working with software engineers…",180271.03,180271.03,San Francisco,data analysis,
5628546601,Social Marketing and Portfolio Analyst,Insight Global,"Job Description The Portfolio & Social Marketing Analyst will be responsible for defining and measuring success, investigating opportunities for optimization, recommending strategies for growth, and delivering visual performance summaries, insights, and recommendations to marketing practitioners and leaders. The role will shape the direction of channel strategies and evangelize data insights with marketers across product marketing, digital, and social. Responsibilities: ? Manage, analyze, and v…",99962.3,99962.3,San Francisco,data analysis,
5679993148,ASIC Physical Design Engineer,Mercor,"About the job Mercor connects elite creative and technical talent with leading AI research labs. Headquartered in San Francisco, our investors include Benchmark , General Catalyst , Peter Thiel , Adam D'Angelo , Larry Summers , and Jack Dorsey . Position: ASIC Power Engineer Type: Contract Compensation: $100–$135/hour Location: United States Role Responsibilities Perform PPA optimization with Fusion compiler to enhance ASIC efficiency. Conduct RTL and netlist level power analysis to improve pow…",162420.34,162420.34,San Francisco,data analysis,
5671274416,"Manager II, Science - Rider Growth",Uber,About the Role We are looking for manager to support a high performing team of scientists focusing on growth for Uber's Rider app. In this role you will help drive strategy for one of Uber's most critical business priorities. What You'll Do:  Drive measurement and experimentation strategy to accelerate Rider Growth.  Deliver proactive insights to optimize the acquisition and onboarding of new riders.  Develop predictive LTV models to quantify the long-term impact of growth initiatives.  Optimiz…,97391.12,97391.12,San Francisco,data analysis,
5706648658,Senior Sensor Engineer,DSJ Global,"Company Overview We are a technology company focused on developing advanced consumer hardware and intelligent systems that enhance human performance and well‑being. Our products integrate sensing, data analytics, and software automation to create personalized, real‑time user experiences. The team operates with a high‑performance, engineering‑driven culture that values speed, precision, and continual refinement. We work quickly, iterate often, and hold ourselves to uncompromising quality standar…",225000.0,250000.0,San Francisco,data analysis,
5671274208,Staff Scientist - Competitive Intelligence,Uber,"About the Role The Global Intelligence team is at the forefront of shaping Uber's competitive strategy through data-driven insights. We leverage external and internal data to evaluate Uber's performance within a rapidly evolving landscape of competitors, market dynamics, and product innovations. Understanding success in this complex environment requires rigorous analytical frameworks, innovative methodologies, and scalable data solutions. We are seeking an experienced candidate with a passion f…",142032.55,142032.55,San Francisco,data analysis,
